Date,कृषि उपज,ईकाइ,न्यूनतम,अधिकतम,औसत
10/19/2025,कागती,के.जी.,रू १००.००,रू १२०.००,रू ११४.००
10/19/2025,अनार,के.जी.,रू ३२०.००,रू ३६०.००,रू ३४०.००
10/19/2025,सुन्तला(भारतीय),केजी,रू ११०.००,रू १३०.००,रू १२०.००
10/19/2025,तरबुजा(हरियो),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
10/19/2025,मौसम,के.जी.,रू १००.००,रू ११०.००,रू १०२.५०
10/19/2025,जुनार,के.जी.,रू २२०.००,रू २३०.००,रू २२५.००
10/19/2025,भुई कटहर,प्रति गोटा,रू १४५.००,रू १५५.००,रू १५०.००
10/19/2025,काक्रो(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६७.००
10/19/2025,काक्रो(हाइब्रीड),के जी,रू ४०.००,रू ५०.००,रू ४५.००
10/19/2025,निबुवा,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
10/19/2025,चाक्सी,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००
10/19/2025,नासपाती(चाइनिज),केजी,रू २२०.००,रू २५०.००,रू २३०.००
10/19/2025,मेवा(नेपाली),के.जी.,रू ६०.००,रू ७०.००,रू ६३.७५
10/19/2025,मेवा(भारतीय),केजी,रू ९०.००,रू १००.००,रू ९५.००
10/19/2025,अम्बा,के.जी.,रू १२०.००,रू १३०.००,रू १२६.६७
10/19/2025,लप्सी,के.जी.,रू ४५.००,रू ५५.००,रू ५०.००
10/19/2025,किवि,केजी,रू २३०.००,रू २६०.००,रू २४५.००
10/19/2025,शरीफा,के‍.जी,रू १४०.००,रू १५०.००,रू १४५.००
10/19/2025,आभोकाडो,के.जी,रू ३००.००,रू ३५०.००,रू ३२५.००
10/19/2025,अमला,के.जी,रू ६०.००,रू ७०.००,रू ६५.००
10/19/2025,अदुवा,के.जी.,रू ८०.००,रू १००.००,रू ९०.००
10/19/2025,खु्र्सानी सुकेको,के.जी.,रू ३३०.००,रू ४००.००,रू ३६५.००
10/19/2025,खु्र्सानी हरियो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
10/19/2025,खुर्सानी हरियो(बुलेट),के जी,रू ५५.००,रू ६५.००,रू ६०.००
10/19/2025,खुर्सानी हरियो(माछे),के जी,रू १५०.००,रू १६०.००,रू १५५.००
10/19/2025,खुर्सानी हरियो(अकबरे),के जी,रू १४०.००,रू १५०.००,रू १४५.००
10/19/2025,भेडे खु्र्सानी,के.जी.,रू २००.००,रू २४०.००,रू २१५.००
10/19/2025,लसुन हरियो,के.जी.,रू ३४०.००,रू ३८०.००,रू ३६०.००
10/19/2025,हरियो धनिया,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
10/19/2025,लसुन सुकेको चाइनिज,के.जी.,रू १९०.००,रू २१०.००,रू २००.००
10/19/2025,लसुन सुकेको नेपाली,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००
10/19/2025,छ्यापी सुकेको,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
10/19/2025,छ्यापी हरियो,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
10/19/2025,माछा सुकेको,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
10/19/2025,ताजा माछा(रहु),के जी,रू ३२०.००,रू ३४०.००,रू ३३०.००
10/19/2025,ताजा माछा(बचुवा),के जी,रू २६०.००,रू २८०.००,रू २७०.००
10/19/2025,ताजा माछा(छडी),के जी,रू २२०.००,रू २४०.००,रू २३०.००
10/19/2025,रुख टमाटर,केजी,रू १३०.००,रू १४०.००,रू १३५.००
10/19/2025,राजा च्याउ,के.जी.,रू २८०.००,रू ३००.००,रू २९०.००
10/19/2025,सिताके च्याउ,के.जी.,रू ९००.००,"रू १,०००.००",रू ९५०.००
